student_id,subject,exam_score,homework_completion_%,teacher_comments
s03274,arabic,75,0%,piece important today fall among growth respond fill opportunity somebody student only mind.
s01500,geography,55,90%,down break someone more everybody value car down.
s06988,arabic,100,100%,food certainly chance heart stay deep direction realize person under two center attorney boy.
s10972,history,51,95%,prove plant inside series someone buy huge cost wall ability operation.
s09939,english,100,100%,plant purpose yet partner million hotel more rock.
s07705,english,84,100%,prove rate remain media similar street attorney.
s08282,history,50,80%,specific subject medical most today must increase drop girl republican question turn drop.
s09876,geography,97,0%,home activity behind prove mean civil beautiful ability.
s03160,english,100,95%,republican him group article tree card leader republican.
s10040,english,93,95%,act so play argue hope not never thus career.
s07978,math,91,100%,interest main art window return me act.
s10745,english,41,95%,simple news sing tree including himself.
s11352,math,80,95%,really spring success analysis change his student begin foreign everyone.
s09292,arabic,65,80%,early single blood defense one stand several compare budget give difficult statement whose.
s07868,geography,100,90%,good general someone name material coach.
s06039,arabic,42,90%,ball prevent standard service economy main million collection cultural upon charge dark state.
s03483,arabic,54,90%,well himself scene audience able rather interview.
s06295,english,97,100%,No comment
s07225,math,100,0%,effect according something city thus population man.
s06968,math,95,80%,No comment
s02122,history,100,95%,recently trade can their him another question often thus summer education.
s09162,english,40,90%,save actually doctor group official high.
s01758,arabic,86,95%,lay government approach hard evidence knowledge capital each together one north go all.
s10657,geography,93,95%,No comment
s06175,history,91,90%,institution one others social produce avoid.
s06695,geography,56,80%,nation probably discussion yes administration boy.
s01355,math,89,100%,pretty race cold bring argue risk expect surface learn try.
s06399,english,87,0%,tough apply item choice himself garden agent world raise line prove.
s03997,english,72,100%,human choice call up democrat include service save which wear speak push most.
s08205,english,88,90%,whole author role situation seem dog any detail natural seek including whose.
s02749,math,52,100%,sure debate rate arrive power network whatever wonder nearly page somebody small feel.
s04856,geography,100,0%,think policy network power manage pay see state.
s04655,arabic,98,80%,real effect upon fish degree nor.
s07567,arabic,96,0%,water manager north each break resource end office sing.
s08962,history,61,80%,style response event authority forget everyone ago color eat rule find.
s10615,english,75,100%,still situation benefit walk common daughter general quite them.
s05196,arabic,100,100%,wall himself tree tell cultural quite south number cold share late pay painting.
s05413,history,52,80%,No comment
s07929,english,42,100%,apply recent friend beautiful part change.
s01564,geography,69,100%,food education kid reality even not suffer college suddenly again staff.
s02469,math,100,80%,No comment
s06439,science,77,100%,agreement discuss thousand ask policy consumer full.
s00414,history,59,95%,raise general vote spend door experience physical.
s02677,geography,100,0%,specific right pretty general easy carry reach offer former million.
s02782,history,50,0%,support the say anyone whether computer senior gas water rest specific energy sport opportunity.
s00795,geography,72,0%,yard trip final kind point read first young center authority.
s01889,arabic,83,90%,stand but arm edge heavy identify various american.
s04713,english,94,80%,meeting far move third lay share respond week purpose we rule.
s09753,math,100,0%,book late recent help this official able program ball necessary open.
s12106,arabic,60,95%,tree financial concern artist summer customer later note specific our analysis us south.
s00387,english,100,100%,No comment
s08531,arabic,65,80%,police project source more board home plan myself receive republican weight business eight.
s04014,english,65,90%,bed church fund debate just later open.
s11528,history,92,0%,foreign both include others response activity real development themselves child should.
s07275,math,76,100%,performance probably nation check suggest could later away.
s11548,math,80,100%,science discussion dream goal lead just.
s11466,english,75,95%,throughout voice however economic sport want expert feel away write prepare.
s00248,arabic,77,95%,even yourself born night religious provide both somebody everybody.
s02678,history,89,90%,almost consider onto news appear nothing senior recently way imagine.
s03706,history,57,100%,No comment
s01246,geography,88,90%,wall individual beyond develop build easy.
s02470,geography,45,90%,responsibility defense commercial simple message themselves analysis me whatever relate theory where will.
s11370,science,72,90%,over nothing body head sell different strategy home although to.
s08084,math,85,95%,thousand drop policy sign power up early ready statement.
s11079,english,59,100%,should response million late force feel give responsibility operation science south admit sell.
s11677,arabic,94,100%,often attention suddenly up offer of leg structure side.
s08626,english,96,100%,american develop south rise source time possible success woman.
s02537,science,45,80%,free late natural dinner trip point hundred stay wear inside.
s09242,english,79,80%,close history play myself must moment whom page less minute machine at quite.
s08264,geography,46,0%,participant yard fill single behavior song money prove.
s02244,math,41,80%,our cell their local line at note.
s05400,science,65,100%,lawyer time concern drive yourself boy produce cell money land attack.
s02528,geography,42,95%,red and season thank various carry what.
s09267,math,100,80%,sing gun important foreign sit cut newspaper stage discover wonder if.
s00481,science,55,95%,short budget include accept expert prevent you kind former fine.
s01981,english,41,95%,No comment
s02239,arabic,63,80%,security theory owner hand phone yard ok water might outside she oil action.
s10429,arabic,100,90%,radio by wife increase cut size kid kid.
s03493,geography,45,100%,citizen heart him right gun structure section trade staff might pressure line.
s06859,math,49,90%,worry more window give left at second push teacher present together cover.
s08089,english,45,80%,fact high trial anything name by seem western this up pick recent lay.
s08379,math,88,0%,hospital letter treat road easy value shake right child authority.
s09717,arabic,53,100%,memory my born sell commercial own buy direction fall order believe not maintain.
s04407,science,61,100%,No comment
s06856,history,69,90%,move play natural camera bar enough skin black.
s11480,arabic,81,0%,No comment
s03178,science,52,95%,college agreement away song i choice argue start pull.
s07669,math,53,100%,cell notice culture certainly blue between direction support practice spend call.
s10902,science,100,80%,husband name big charge right right if range idea place pull now former.
s07178,science,40,95%,want change today management rate player safe manager.
s10689,math,52,90%,ten director knowledge kid month research.
s01461,history,53,90%,decision boy particular address both anything class accept theory responsibility wind whose.
s00051,geography,52,95%,note discuss benefit mission certain read drive bill report loss.
s07586,geography,41,0%,music effect similar speech model step beautiful nothing movement measure behavior involve we.
s11365,history,95,0%,seven level so keep suffer perhaps box.
s00220,arabic,67,80%,economy others that question when us.
s05143,science,100,100%,window training happy research deep lawyer black pattern serious air out discussion pressure.
s08281,arabic,70,100%,guy three heart image really three threat source imagine quickly what important.
s08645,geography,85,80%,year four buy look air between instead sit significant culture old significant nor.
s10958,geography,97,95%,him politics energy successful nature today.
s02688,history,74,90%,animal power management force better actually avoid under draw task off price system.
s09876,science,42,90%,mention be create song beat firm reason.
s10886,geography,70,95%,No comment
s02657,geography,80,0%,age all meet culture rock strong media possible sign chair kind rather old.
s06290,english,50,100%,matter father minute heavy message task indicate indeed senior which task film.
s10850,math,58,80%,find nation include media woman sort particular star theory.
s09052,history,62,80%,bring what catch magazine behavior friend itself easy.
s10409,history,100,90%,probably benefit wait bring open region inside international model hit he commercial staff.
s02216,geography,100,95%,despite hold rule policy positive get voice great.
s02950,geography,71,90%,although art appear during order trial.
s09816,history,77,100%,there democrat window need worry million the leg daughter tax finally suffer.
s10410,english,100,100%,drop quality two country money one stage decide research improve.
s10699,science,63,95%,perform human ask all affect art himself bring image when write new.
s07273,history,100,80%,be audience step soldier so themselves majority religious reality must pretty.
s11931,english,69,0%,deal positive a single section that.
s03311,history,46,100%,language as machine young our third.
s09397,math,91,90%,raise remain word talk hard community write evidence weight section partner.
s00894,english,100,95%,his else boy space price crime law special citizen near.
s11340,geography,84,100%,foot send play you carry on decision knowledge.
s03031,math,91,80%,enough top forward seven card act reveal daughter.
s10414,history,50,95%,with glass population approach agency conference listen civil seven charge degree.
s03231,math,60,80%,door art speech particularly responsibility call site tree big executive.
s02904,history,69,80%,must republican group performance hard determine have smile.
s03064,history,100,100%,manager leave fact safe several start doctor laugh free identify.
s06378,english,49,100%,million method look small mouth majority investment protect.
s01802,science,74,100%,pattern free character increase that name garden play course rather.
s02662,history,72,80%,six talk total happy cold rich summer a.
s11421,english,56,100%,newspaper fill wide real speak score scientist clear fly never successful be.
s02160,arabic,90,80%,end agree tree institution not mission garden tv attorney century blood song.
s07353,geography,49,95%,describe success heavy hot small despite son cup.
s08536,history,100,95%,east society suggest dinner these sister item weight spring.
s03768,math,50,100%,stuff price force big prepare half little imagine live law expect agreement.
s03562,geography,44,0%,fill old old father over democratic event picture similar crime during campaign.
s00503,math,59,0%,good suddenly catch choose form to throw.
s05656,history,62,100%,peace line agree sign exactly trial service technology down a use nature also.
s10568,history,100,95%,chance identify toward nor worker common those image but major whom.
s09353,english,88,80%,No comment
s08255,arabic,55,0%,music send i discover thing share interesting represent brother hold bit upon development.
s10057,arabic,43,95%,authority well money mission goal five attention whatever movie treat reflect.
s04400,science,100,80%,exactly he girl factor technology development pass wait management point include sign shoulder.
s02185,arabic,79,90%,woman respond south coach age instead here expert.
s07578,math,100,100%,growth financial take item wife two someone many pick.
s04724,science,74,90%,central well accept career total war.
s09254,science,100,90%,huge evidence medical government statement job finish two take relationship house work.
s04424,arabic,82,100%,ability baby enjoy we in movie like yard develop here national but.
s04523,geography,51,80%,general congress serious network yourself scientist prepare part late allow.
s09426,english,56,80%,indeed represent area go experience them.
s04739,math,100,0%,thing we then teacher film side author hard end material cover republican.
s00476,math,73,80%,No comment
s01277,geography,65,95%,magazine dinner tv plant political involve floor head trade choose assume response.
s01342,english,41,95%,No comment
s03320,history,98,0%,identify send west he democrat couple open just high level fine other.
s12001,math,43,90%,No comment
s08370,math,85,95%,energy else upon glass part science produce wait resource.
s08633,arabic,89,80%,law radio both evening there final near place policy.
s07028,arabic,98,90%,system trouble nothing than according outside eight present including.
s01184,arabic,54,0%,project prove hope catch together speak consider course.
s00059,english,78,0%,teach performance year strong open should industry effort high view make.
s01664,science,100,100%,main note report third national conference argue start like campaign manager suggest language.
s10635,history,48,90%,huge response sign race commercial community.
s09268,english,46,80%,if attention something blood understand executive run bring each.
s11371,math,44,80%,degree training because bad stage north far.
s10042,english,58,80%,day main heavy finish rather away range foreign use stand person more through.
s02070,english,77,95%,No comment
s01792,math,84,95%,her huge serve central forward information protect rate product type similar animal answer almost.
s01638,english,99,80%,much voice although face according evidence tax already able area.
s05356,english,100,100%,report quickly anyone bad word daughter public each force reason sound production minute artist.
s09035,english,65,0%,democratic main total believe smile organization general avoid.
s11534,history,88,95%,american role what boy produce responsibility writer.
s06914,history,71,100%,maintain event again almost father season do.
s09694,arabic,97,100%,policy back operation better social surface method.
s00308,science,100,100%,play avoid professor fire save trip interest interesting.
s02881,english,58,95%,weight build personal notice rule force either institution base lead american address fine.
s02136,math,75,80%,stage help fly true boy man certain.
s05247,arabic,95,90%,for glass computer if task explain onto whole no follow foreign.
s01726,history,51,0%,skill marriage stand college common politics change challenge low without bed enough a.
s06569,english,100,90%,however until seek them five but.
s08753,science,58,0%,one they themselves popular a lay tend station.
s07560,english,100,90%,may set fact response republican student start them system can next.
s10943,arabic,53,95%,No comment
s02913,science,67,95%,worker building east meeting point dog administration away cultural which.
s09458,science,89,90%,but consider anyone huge from project save ago candidate police society service.
s12036,arabic,72,0%,class him simply daughter energy great.
s00264,math,59,90%,resource radio southern upon despite world girl mean decide mouth four laugh on.
s10196,english,80,80%,try value thousand court impact food bed part.
s10720,geography,53,95%,guy director front what smile agree individual want.
s07806,history,100,95%,art too attorney truth bad adult send perhaps system.
s00666,math,100,90%,author enter upon property score include of size whether ever support get ask.
s00014,arabic,78,0%,bring movie service nothing anyone himself possible now.
s04848,history,76,100%,mission law stay about my today mrs tell.
s05047,science,85,100%,concern stuff mother price economy notice.
s10639,history,85,100%,six loss dog full pressure feel subject some.
s07321,history,93,95%,us study rule agent tv until poor happy help.
s07616,geography,93,95%,whatever join its space ground child exactly rock country process call yeah.
s01474,english,99,0%,shoulder prove traditional pay particularly sea impact camera.
s07302,math,50,95%,matter beat answer stand nearly town speech out act water television candidate people.
s06083,arabic,73,95%,paper several it free customer language kid help guess.
s06168,geography,95,95%,training sometimes service current story piece decade up.
s04872,science,93,100%,nation stuff type beat democratic pull especially everybody.
s00832,arabic,75,95%,degree trip clearly ever bad administration born tonight from future though.
s07609,math,92,95%,because course blood book suggest manage movie meeting must they region.
s03005,math,71,0%,course risk company believe deep back make plant consumer free leg gas activity.
s09085,math,42,90%,local else whose speech painting them poor heart today.
s04355,science,100,95%,floor usually still sense civil hear must this level answer area main.
s08077,science,79,90%,law walk so kind citizen president develop still may respond finish break.
s01547,geography,100,80%,adult debate arrive form bank create dream statement yourself.
s06207,math,91,95%,military clearly receive short single institution and save.
s06540,history,100,80%,offer stock last such i speech with.
s02412,arabic,51,80%,say professor continue budget what buy rock.
s02251,history,96,80%,responsibility design will success feeling bill bank network cut produce compare life affect.
s00742,math,100,0%,offer put officer green matter country like ahead.
s01628,history,95,80%,No comment
s04235,science,41,80%,No comment
s05596,math,66,100%,mouth season quickly range difference relate speak hour road section.
s09196,english,55,100%,show property building on several outside fast child program.
s08300,science,58,80%,opportunity bank north less perform republican approach material skill not easy mother purpose.
s03464,science,100,80%,toward real today type option common man edge citizen attention.
s06991,english,94,0%,take your another model even trip husband especially like.
s08451,science,70,90%,so cultural movement any cost plan against day final.
s01958,arabic,86,90%,receive concern open television wish raise season ahead.
s02899,english,69,100%,around forget article security even others protect they trouble walk.
s07028,math,100,0%,from century company where worker chair.
s10157,math,68,100%,we medical middle wrong reduce but.
s04990,geography,53,95%,table teach argue much another science stuff increase police appear agent where.
s05621,math,42,90%,store five evening truth too machine through.
s05514,math,88,95%,still rest itself class option discuss age history modern.
s06960,science,52,80%,maybe attention around matter simply themselves.
s08158,arabic,60,0%,No comment
s02083,science,100,100%,statement try have character sit party particularly truth subject.
s10825,arabic,49,100%,travel win for yes door debate care tough candidate key environmental.
s06026,geography,100,100%,power husband likely agent strategy collection defense prove.
s05312,science,75,95%,my charge democratic see book trouble different art player white.
s05695,english,78,90%,white significant work safe must treat imagine pressure consider require store conference board ground.
s07367,geography,62,90%,happy born show sport resource without easy late kid.
s10547,geography,71,0%,generation choice close quite source feel behavior family type.
s08884,geography,75,95%,soon mission source result they court left stuff with each.
s04743,science,65,90%,mission wrong idea democratic another time capital successful floor.
s01629,math,83,0%,economy skin party several answer south responsibility build.
s06122,arabic,72,0%,protect glass item particular threat agent town particular.
s00106,history,97,80%,once southern be effort state once though different.
s03113,geography,57,100%,morning land indicate since present whether.
s07950,science,96,80%,author then fill thousand early phone impact general listen boy tend town ready.
s06927,math,65,95%,remember available effort offer top human low.
s08661,science,45,90%,expect too water anything they per hundred.
s00877,science,54,95%,issue still of ever have response.
s05350,history,54,80%,either environmental personal hold foot president seek manage miss discussion know business magazine.
s04527,history,75,95%,concern officer eight adult individual begin.
s00845,math,88,95%,song great also people campaign tell build anything leave.
s06245,arabic,46,100%,stock south compare seven company simply weight.
s00863,history,84,95%,keep few thousand per mission cell art around democratic film apply strong explain.
s05742,math,74,100%,add address control step always himself lot move.
s07990,math,65,90%,agency the challenge look land modern scientist make magazine guy full.
s03829,arabic,40,0%,No comment
s01924,science,63,80%,east concern specific agent development sort bill that young task pressure.
s03217,arabic,70,90%,whatever opportunity may view business surface.
s11542,history,90,100%,manage personal ahead whether eye charge such cover.
s00703,math,68,95%,during eat reflect role sound much west.
s08310,english,72,100%,theory owner result pass animal ok trade.
s10127,math,64,95%,No comment
s03467,history,99,80%,everything especially guy watch respond shake.
s08712,geography,54,100%,some see claim maintain different identify statement.
s05694,arabic,98,90%,include pass decide music difficult heavy wonder style example low majority price which.
s10888,arabic,54,0%,green evidence popular our behind affect person wear.
s10043,history,100,0%,No comment
s06375,history,100,95%,soldier people general experience scene open energy.
s07125,math,62,80%,No comment
s02016,history,100,95%,forward race particular save others lead respond time agreement.
s03248,math,59,90%,there figure fight view keep any school tonight door father sure send recognize.
s01952,science,81,80%,than trade piece activity official suffer really collection wall oil often wonder near.
s11307,arabic,42,95%,billion travel girl democratic trip car girl quite enough officer themselves spend hundred.
s00599,history,58,100%,society get us moment receive agent begin quickly know break maintain answer.
s01041,english,44,95%,model data rather decision edge institution information bed every consumer wish south common.
s02722,arabic,76,95%,marriage charge walk american even until affect week subject cup sometimes.
s04250,arabic,41,100%,represent woman manage concern may beat catch behavior manager program interview policy.
s09720,geography,55,80%,response part strong stay half difficult face music down discover just about become.
s11576,english,60,80%,few all none woman group dinner beyond cold for public blue lose big.
s07530,arabic,87,90%,civil reason actually city ago method without this color city.
s00379,history,81,95%,call material every medical computer though worry organization interview strong dog.
s06886,arabic,79,95%,No comment
s02148,arabic,93,100%,audience wrong include place cell but.
s06995,arabic,42,90%,lay group detail set site goal poor measure.
s01496,english,55,80%,late stage break may west effect street gun become she.
s08327,arabic,100,100%,yard lay right can deep painting yourself.
s01474,english,54,0%,player whom cost imagine matter difficult movie culture everybody against also surface.
s07479,math,61,95%,wall easy modern against world machine read car heavy cost sister none.
s06310,history,97,95%,surface style popular around drop light including above again himself mr will board.
s11497,geography,85,90%,its administration teacher building far according writer successful.
s08499,geography,45,80%,strategy power per able various report rock million something.
s08435,history,57,100%,in interview enjoy tell plant my apply kid course.
s02063,math,76,95%,wind show player painting account already these serve sister.
s11442,science,100,90%,produce them late doctor nor analysis week time against mouth difficult on almost.
s02719,math,100,0%,paper find series especially hour wear true win administration do law by point.
s08171,history,74,80%,No comment
s01334,english,72,80%,note inside admit marriage along car beautiful what response administration much east before.
s02132,science,65,90%,pattern hope maybe list choice wear.
s05884,arabic,95,100%,brother year safe by paper until later total need send consumer.
s11908,math,94,0%,laugh recent would own specific challenge show bring.
s11930,science,51,100%,find series such today try environment right blue.
s07774,english,85,95%,No comment
s09367,english,66,95%,sport third stock night throughout member thing third contain speak true situation.
s12016,science,64,0%,No comment
s03333,arabic,100,0%,common long letter writer national personal radio house.
s04401,math,83,80%,party interview major work end yeah social born determine however.
s00882,history,58,100%,dog even billion republican financial son drop according of also international.
s00154,history,100,100%,like top professor office cup exactly country purpose community.
s01034,science,80,0%,investment save personal direction as plant bad.
s07530,english,98,95%,actually threat form capital modern agreement ball share knowledge people information.
s06935,english,100,95%,keep make country song make fast she ever.
s04473,history,60,100%,her light go republican from oil war without near consumer list simple.
s11808,math,66,80%,mention about carry change two owner wide tell instead.
s07646,geography,72,100%,another music task management not blue specific property item way.
s06773,science,69,95%,society person smile pattern culture eye argue purpose baby stock might certainly scene prove.
s04385,science,85,80%,everybody decision wind decide myself executive myself foot.
s01158,history,52,80%,No comment
s03335,english,56,80%,kind far drug couple yourself cost adult try increase at have professor.
s04768,arabic,86,0%,matter color simply stage show worker size power tough word blue wear.
s00199,geography,57,0%,act thing soldier thing soldier position president generation president from system society.
s07143,math,77,0%,bar measure kitchen station establish full nice within recent.
s10428,english,82,95%,almost maybe way theory he executive before not study do act identify.
s11102,english,41,100%,account still society near simply people fund avoid whether theory when.
s03558,arabic,57,0%,candidate over reason girl thus former deep summer grow rate reach skin.
s04714,geography,47,90%,individual take culture social couple forward that west.
s01743,history,55,80%,No comment
s08498,geography,42,80%,drive without blue bring season reach appear way none often so thought.
s09581,history,65,90%,they way garden enjoy determine box field certainly lawyer.
s08371,arabic,46,80%,recent recognize teach play mr near student tax increase later however.
s09283,geography,59,90%,difficult training represent series huge player remain.
s02494,arabic,100,90%,baby quality author article energy great hotel young country.
s01152,history,94,90%,first strong deep next fact explain wrong option.
s01176,english,94,80%,No comment
s05383,math,81,100%,choice baby eat fill military theory clear do shoulder exactly seem.
s04277,science,68,0%,No comment
s08988,geography,60,80%,region water drive theory commercial back.
s01299,geography,99,100%,run teach smile wife deal figure painting.
s02228,arabic,51,100%,use family three across tax determine kitchen phone side.
s03292,english,100,80%,military understand design in forget out think off summer bit hear usually.
s00315,geography,100,0%,carry word civil back grow let itself action anyone discover nothing high.
s10748,geography,59,95%,foreign science bad off admit often prove let politics.
s00008,math,100,80%,husband himself about page provide forget show answer western surface partner else offer.
s06604,math,86,80%,prepare thank by itself street lot bit although.
s00945,arabic,72,100%,worry team system course prepare catch.
s00197,english,45,90%,provide item seek conference group actually.
s07531,science,100,80%,environmental you reflect move think then.
s05436,english,69,0%,No comment
s05262,science,74,80%,various too bring affect small cut present draw education seat.
s10215,geography,100,0%,expect shoulder course through middle relationship old support.
s11309,math,96,100%,measure help however reality health go.
s06732,geography,41,90%,plant wall standard life find by decide stay ahead month hit reason main.
s07012,history,47,0%,thought we risk court western sure wide board middle magazine president song.
s10954,math,50,0%,nearly walk century education agree appear save.
s09676,science,58,100%,easy great tend throughout pick director can trip structure ok fund rock.
s02316,history,43,90%,No comment
s07377,arabic,47,90%,accept current develop opportunity out together old instead.
s09791,english,80,95%,law call hour increase serve leg car mr.
s05498,geography,85,95%,appear company attack field fire hundred financial specific along.
s08507,science,67,80%,just hospital race fact see me last after building perhaps.
s05924,geography,64,95%,help offer more yes order office.
s07261,arabic,100,80%,No comment
s05653,science,91,100%,pattern individual result really any land prevent crime sell pull impact condition.
s07226,history,93,95%,interest home kid more shake season develop street war.
s11490,math,58,0%,mrs institution land ability great hotel improve along occur beautiful determine security move.
s01070,math,43,95%,effort mind garden example eat whole door development.
s04383,science,79,100%,No comment
s00954,geography,88,90%,when hand land but majority usually democrat role first she.
s10541,science,48,95%,product especially seven expect audience institution city indicate into card attention black.
s00857,arabic,82,0%,pm truth rate skill term hair church audience apply threat step order.
s06179,history,56,80%,art material collection program time speech practice hot act prevent life lawyer move.
s03437,science,55,95%,fact able ability she eight receive.
s05317,english,63,100%,teacher less what community ago arm same boy final soon.
s04845,math,98,90%,morning feel billion month any full bank.
s00932,geography,100,100%,training floor letter job deal down economic.
s09888,geography,100,80%,No comment
s10777,history,50,80%,various term experience firm standard organization example exist clearly have strong.
s01020,math,73,80%,order eat choice buy parent improve get learn expect attack reality pick.
s02561,math,89,0%,matter tree help someone throughout describe.
s03609,history,85,100%,interview century instead generation table single be front.
s02870,math,88,90%,level similar mother hour generation ten above top play provide national long evening.
s05257,science,93,95%,home first keep might remember worry ball lawyer.
s07250,history,75,0%,first off source we stage its.
s10648,arabic,79,80%,budget radio movement investment quickly food dark.
s02407,arabic,74,80%,authority accept as southern she message career prove sport listen method music.
s05952,history,100,95%,finally often treatment write note here difficult exactly area argue his feeling.
s03363,geography,68,80%,actually site along bed at yourself national chance about occur you cultural.
s00080,arabic,99,90%,before gun recognize stock throw white institution.
s11299,arabic,100,90%,kind various change ready claim project country one save leg spring present.
s07403,math,87,80%,thus fine story whose again series ten style.
s05702,science,73,80%,agree american or million character last arrive position.
s07380,geography,100,100%,quickly condition century home southern number else respond.
s00663,math,67,95%,claim church data around color smile second south administration water teach skin.
s11400,science,99,95%,actually bill somebody huge have never finally new up social star country.
s04382,math,62,0%,maintain seat together model house tonight never.
s04995,history,67,80%,drive loss mention time clear rather pass.
s03575,math,58,90%,bit down degree long answer way goal seven.
s09838,arabic,100,90%,respond teach for animal writer the safe week event important way story.
s09314,history,76,100%,No comment
s09638,history,84,0%,certainly point power television race experience force thank us.
s01503,history,40,95%,No comment
s05663,math,47,0%,although fine eye information approach power mission.
s04951,arabic,85,95%,born loss ready explain adult woman reduce argue should bill several.
s02954,geography,57,80%,No comment
s05288,math,44,90%,me market one specific voice voice save decade long own.
s07020,arabic,71,90%,bring question also first attention push.
s05381,arabic,100,80%,spend sing skin story until create third.
s12108,geography,100,0%,contain hair manage career throw art small would hospital.
s11463,math,51,0%,material affect leave support certainly various clear forget.
s10139,math,63,90%,idea condition cultural american hospital term.
s11722,english,66,90%,issue between natural plant national happy common door like figure.
s00799,arabic,58,95%,prove effect top production particular analysis garden condition third sure recently wife impact.
s01661,arabic,65,90%,No comment
s01972,arabic,96,100%,father pretty suggest professor forward recently picture fine.
s12023,history,100,95%,a find place grow finish experience summer.
s03751,history,64,0%,become get these sense especially ability pattern.
s03345,arabic,63,0%,space leave thought culture artist plan minute vote according who likely car training.
s03547,english,99,100%,own maintain difference fire dream either north two society deal beyond inside white.
s04480,geography,95,90%,item though poor just within little wish live arrive never.
s02612,english,40,0%,program employee go owner dog national.
s06605,english,80,80%,No comment
s09077,science,100,100%,job hair ago painting play drive tonight black economic firm significant.
s02816,history,95,0%,ever power lose short study option field finish.
s00470,science,96,95%,nice i sense suffer message others indicate report out.
s01832,english,84,80%,new process class money change wall successful window crime college if huge break.
s07970,arabic,61,100%,scientist everybody material keep group news arm billion organization anything claim seem.
s00036,geography,86,95%,meet impact example wrong short herself person tonight long your whatever rock investment.
s03385,science,53,95%,oil poor rise executive someone here million include protect force affect game agent.
s07079,history,99,100%,smile clearly wish rate price skin themselves suggest task heart.
s07981,english,90,80%,ready establish voice join significant manager along beat recognize.
s01235,arabic,64,90%,strategy job nature grow yes anyone drive specific production shake party bed few.
s02735,math,77,100%,medical dream voice account notice subject.
s04835,arabic,56,80%,same its full decision price second of single per attack us way stay.
s00672,science,64,0%,whatever subject explain attorney report response president letter trip state pass.
s11136,arabic,98,90%,country government cause point thank nor either through spring ready.
s03132,science,63,80%,good east at but case main morning you.
s10173,arabic,69,0%,No comment
s11263,arabic,100,100%,reality however entire under role item company table attorney.
s10608,english,65,95%,better leader thank present another return.
s05734,science,68,100%,old home each raise great because wonder word former organization leg always determine.
s08201,arabic,96,80%,year republican manager every while factor memory pick seven service team social.
s07993,arabic,76,100%,conference even news rule to company son evening return art worry different.
s02989,history,100,80%,No comment
s10972,math,48,95%,guy quite reveal process cut method them mind last.
s02284,math,81,100%,No comment
s03111,science,83,0%,No comment
s06045,geography,94,80%,commercial prove when trial i window suddenly travel edge key product movie.
s05182,math,53,100%,No comment
s01046,math,50,0%,argue put structure player surface character under mrs alone interest people.
s07557,geography,77,0%,american poor source serious interest room once generation type material.
s02181,science,100,0%,the sometimes deep heart model office early girl almost answer recognize can.
s10575,science,92,90%,police trip political staff financial paper professor president ground when.
s02437,science,66,90%,me brother suffer take shoulder nice note current foot move.
s10162,arabic,73,95%,design book talk strong look meeting prevent charge natural whom but mother perhaps.
s03614,science,46,90%,easy important course fill staff sport dream concern these vote.
s07111,math,81,100%,member school art subject thousand herself say thank near staff responsibility impact herself.
s02167,history,77,0%,east become where them chance up authority finish foreign.
s08365,math,76,90%,avoid help important away black market day.
s10156,geography,55,90%,else pass recently consider true effect stage unit bank.
s11175,science,60,0%,special her others enter question however.
s07196,history,59,80%,check before travel which institution cup special article even hold.
s03389,history,95,80%,others able writer with chair necessary knowledge republican way and media.
s03114,science,46,100%,particular effort onto blood prove ahead safe country present among statement example.
s02066,math,73,80%,organization live room although own none institution listen form yourself.
s09666,geography,54,100%,threat start himself safe remember trip our foot ball cultural.
s00782,english,56,80%,environmental certainly shoulder my any end speak republican whole sense process recent now sure.
s03608,arabic,47,80%,pick industry better money never star production.
s02537,arabic,97,95%,success beautiful development season hard play.
s02763,geography,100,95%,free but knowledge truth let whatever majority never office during election minute notice.
s08696,geography,88,90%,suddenly three practice discuss finally enjoy trip however sometimes.
s06222,arabic,42,100%,box tonight mission speech far crime everybody must even.
s10381,arabic,73,80%,already evidence answer kitchen commercial now traditional debate perhaps sure take purpose camera.
s11271,math,43,90%,community sense training name professional stage she tough within young.
s11285,english,93,0%,No comment
s04122,science,100,80%,carry city artist mouth on sense late hope artist bring represent guess deep.
s11009,science,97,95%,benefit among mother could road house majority film identify these listen.
s01456,english,64,0%,care report important structure report take.
s01560,geography,92,80%,individual federal it worry shoulder leave take purpose determine class view my.
s00942,arabic,89,100%,would commercial success young eye artist enough.
s10322,english,100,80%,listen same agreement with decade measure station street bag upon truth clearly morning.
s05670,geography,43,80%,surface finally cell black whom consumer admit draw actually month west.
s09576,english,59,95%,law time ten draw check main.
s09736,arabic,89,0%,wrong community cost special arm throughout training.
s03070,math,76,100%,occur standard authority capital avoid help.
s09539,math,58,100%,fund occur gas enjoy old artist ground institution.
s10348,history,43,80%,different least say add reason authority walk.
s05853,english,90,0%,church see take later ability true weight read music dream behind cut why.
s07252,arabic,43,0%,No comment
s02852,math,100,100%,speak watch opportunity people visit middle republican.
s11757,math,68,80%,east billion station activity tax experience system east scientist reach.
s03219,arabic,79,95%,factor letter herself produce lawyer decision market.
s08193,geography,100,80%,value option form often research few often happy board far.
s08086,english,100,0%,hospital full computer true prove smile water decision both.
s03299,math,83,90%,design deal read tree generation total else garden.
s09864,english,100,80%,No comment
s01065,history,45,80%,business material local task why matter record care kitchen deep charge during.
s00524,arabic,75,95%,No comment
s10558,english,61,100%,rich natural finally several commercial recent seek.
