student_id,subject,assignment_name,due_date,status,grade_feedback,guardian_signature
s00860,geography,either international memory.,2024-11-01,not done,f,yes
s09275,geography,usually of.,2024-10-22,done,b,no
s04028,history,field reflect couple.,2025-01-07,done,d,no
s02628,english,hair letter probably.,2024-10-26,done,a,no
s06949,science,five key way gas.,2024-12-09,not done,d,yes
s06012,science,young list.,2024-09-14,done,a,unknown
s05095,geography,center.,2024-11-27,not done,a,no
s11175,arabic,seat finally arm.,2024-11-21,done,b-,yes
s01388,arabic,modern life out.,2025-02-04,done,a+,unknown
s01227,science,since glass level.,2024-09-10,done,c,yes
s06807,geography,away finally lose.,2025-01-19,done,b-,yes
s06293,history,body kid.,2025-02-13,not done,a,yes
s08714,science,moment instead inside.,2025-01-16,not done,b,no
s00108,arabic,artist inside.,2024-12-12,pending,c-,no
s08263,science,suddenly they.,2024-12-26,done,c-,unknown
s01732,geography,month represent ask firm.,2024-12-09,not done,b-,yes
s05972,english,all mr near.,2025-01-10,done,a,yes
s10500,math,will name.,2024-12-14,not done,a,unknown
s11657,arabic,i site heavy.,2024-10-05,done,b-,unknown
s11580,geography,suggest personal opportunity.,2025-02-13,not done,b-,no
s05371,history,lead rock life.,2024-12-09,not done,a,unknown
s07114,geography,everything tv.,2025-01-03,not done,c-,yes
s11312,science,democrat list become.,2024-12-09,not done,b,no
s10950,history,religious drug.,2024-12-09,done,c,yes
s04902,geography,go blue admit.,2025-01-13,not done,b-,yes
s03663,math,evening shoulder.,2024-10-22,not done,d,unknown
s09611,science,article.,2024-12-09,done,d,unknown
s12083,history,class sometimes.,2025-01-16,not done,b,unknown
s02592,arabic,catch save.,2024-09-28,not done,f,yes
s00668,english,bank design between party.,2025-01-08,done,c-,unknown
s09799,geography,interest employee.,2024-09-12,pending,f,yes
s11781,english,friend option.,2025-02-04,done,f,unknown
s06585,math,medical.,2024-10-10,not done,c,yes
s11751,arabic,race unit win.,2025-02-26,not done,a+,unknown
s00171,geography,support clear option.,2024-12-09,pending,a,yes
s03762,science,scene eat own.,2025-02-09,not done,c,no
s00077,arabic,field education.,2024-10-15,done,f,yes
s04186,english,word for among.,2024-12-17,done,b,unknown
s03868,geography,listen well.,2024-12-09,pending,c,unknown
s10278,math,great you lay short.,2024-10-21,done,a,no
s02011,math,oil remember situation.,2024-12-09,not done,a+,yes
s01033,history,from try.,2025-02-10,done,b-,no
s09651,math,kid whole lawyer.,2024-12-09,done,b-,yes
s05676,science,laugh radio.,2025-01-07,done,a,unknown
s07464,history,improve law.,2024-09-14,not done,c-,unknown
s06097,geography,president.,2025-02-05,done,c,yes
s11113,math,better little home.,2024-12-09,done,b-,unknown
s01714,science,draw attorney after.,2024-12-09,pending,d,no
s08966,english,piece season.,2024-10-23,done,f,yes
s07176,math,trouble.,2024-11-11,done,f,no
s03923,geography,develop federal huge.,2024-10-24,done,b,no
s03612,geography,serve expert theory study.,2024-09-15,not done,c-,no
s09189,science,across young well language.,2024-09-17,not done,c-,unknown
s06846,english,seven follow fall might.,2025-01-25,pending,d,no
s02210,arabic,traditional.,2024-12-09,done,d,yes
s11656,geography,old staff performance set.,2024-10-12,not done,c,unknown
s03519,geography,stay theory truth.,2024-10-07,done,d,yes
s00178,history,democratic five computer purpose.,2024-10-06,done,c,unknown
s01303,english,single hour tax.,2024-10-15,done,a,unknown
s02345,english,home approach.,2025-02-08,not done,f,no
s05611,science,hold.,2024-12-23,not done,a,unknown
s03228,geography,mean page from.,2024-12-09,done,d,yes
s08029,geography,sea under there.,2024-12-09,done,f,yes
s07156,math,great blue.,2024-12-09,not done,c,yes
s01615,arabic,cultural realize.,2024-10-24,done,a+,yes
s08312,math,speech prepare force.,2025-01-07,not done,a+,yes
s10424,english,mention military.,2024-10-10,not done,a+,no
s10385,history,when firm.,2024-12-10,not done,b,unknown
s10380,science,without red.,2025-01-25,pending,f,yes
s05875,english,leg discussion window.,2024-10-18,done,f,unknown
s07907,english,ground herself perform set.,2024-10-17,done,f,no
s06244,science,nearly color.,2024-12-06,not done,f,no
s11752,science,we.,2024-10-16,not done,a+,yes
s07316,history,participant no.,2024-12-09,not done,f,unknown
s00296,english,discuss occur.,2024-10-20,done,a,yes
s04904,arabic,total dog meet.,2024-11-29,done,b-,unknown
s00905,math,form.,2024-10-22,pending,d,unknown
s01086,arabic,voice care.,2024-12-27,done,b-,no
s04960,english,activity.,2024-10-05,done,f,yes
s09202,science,easy beyond performance.,2024-09-23,not done,b-,yes
s03051,english,yeah movie.,2025-02-11,not done,f,no
s11806,science,business effect.,2024-09-11,not done,f,no
s00851,math,event arrive main.,2025-02-15,done,b-,yes
s04081,arabic,anyone sea analysis.,2025-02-03,done,c,yes
s12102,math,they.,2025-03-04,done,f,yes
s10793,science,home back.,2024-10-26,done,a,no
s08316,geography,would others.,2025-03-09,done,b-,no
s11120,arabic,recent everybody.,2024-09-14,done,f,yes
s08657,science,cultural behind appear.,2024-12-09,not done,b,yes
s06691,math,since pull detail finish.,2025-02-18,not done,f,yes
s08323,science,discover pattern.,2024-12-08,pending,c,no
s07830,science,research different.,2024-10-24,not done,c,unknown
s10809,geography,small behavior.,2024-12-09,done,a,yes
s03279,english,interest course.,2024-11-21,done,d,no
s00137,math,inside understand relate painting.,2025-02-10,pending,c,no
s07849,science,individual else.,2025-02-08,done,a,yes
s06741,science,road too to.,2025-03-08,done,c-,no
s05316,history,need argue.,2024-12-09,pending,f,yes
s11391,geography,season perform.,2025-01-21,done,b-,no
s03402,science,about development.,2025-01-18,pending,d,no
s00184,geography,young career.,2024-09-18,pending,c,yes
s00848,english,simply far hold.,2024-12-09,done,c-,no
s11501,science,realize contain another.,2024-09-22,done,a,yes
s04206,english,security fund feeling.,2024-10-08,not done,b-,yes
s09503,science,return entire.,2024-12-31,pending,b-,no
s10304,math,idea without sound.,2025-02-01,pending,a+,unknown
s11802,math,professor.,2024-12-09,not done,c-,no
s03874,english,quite wonder.,2024-10-03,not done,d,no
s04090,history,situation later through.,2024-12-09,not done,a,no
s01080,arabic,close field third.,2024-11-29,done,d,yes
s09260,arabic,shoulder ten wear before.,2025-02-25,done,b-,yes
s12102,history,gun side spend.,2025-02-11,not done,a,unknown
s11575,arabic,building attorney official.,2024-10-15,pending,a+,unknown
s11682,history,pretty give democrat pressure.,2024-12-09,not done,b,unknown
s11704,math,difference color.,2024-09-19,done,f,yes
s03321,arabic,leader full.,2024-12-23,pending,a,no
s02777,geography,reveal weight skin.,2024-11-12,done,d,unknown
s10663,history,begin task build.,2025-03-04,done,b-,unknown
s07660,arabic,game into.,2024-12-09,done,b,no
s08280,english,back condition risk.,2025-02-12,not done,a,unknown
s08917,history,serve.,2025-01-23,done,a+,no
s04735,math,southern let.,2024-12-24,pending,f,unknown
s10729,arabic,seven staff.,2024-10-05,done,f,yes
s08716,english,better room buy.,2024-09-29,not done,a,no
s11182,english,brother piece part visit.,2024-09-28,done,c-,yes
s02175,english,sea prove heavy.,2024-12-09,done,d,yes
s06046,math,stop industry.,2024-12-11,not done,f,yes
s06213,math,contain reduce.,2024-11-11,pending,d,unknown
s01812,science,population trip.,2025-03-09,not done,a+,no
s09249,english,hear military speak.,2024-12-09,not done,a+,unknown
s10586,geography,allow standard dark brother.,2024-12-09,done,d,no
s03212,math,share why allow teach.,2025-02-22,done,d,yes
s04939,history,company travel.,2024-09-30,done,b-,yes
s08434,english,top everything control.,2024-10-16,pending,a,no
s11334,geography,gun feel certainly itself.,2024-11-05,not done,c,no
s00390,english,where turn.,2025-02-19,not done,f,no
s03266,math,process leg.,2025-01-01,not done,f,yes
s10056,english,contain tend.,2024-09-11,pending,b-,unknown
s08078,arabic,doctor message.,2024-09-16,pending,b-,yes
s04923,math,own a without.,2024-12-14,done,d,no
s05724,english,it never in.,2025-01-21,not done,a,no
s02869,arabic,according rise soon.,2024-10-02,not done,a,unknown
s00581,english,friend whose away.,2024-09-18,done,b,no
s00011,english,man pass court among.,2024-09-10,done,d,yes
s01809,geography,field myself.,2024-11-24,pending,c,unknown
s00287,history,build hope.,2024-12-09,done,a+,no
s11072,math,speech expect.,2025-01-18,not done,a,no
s05208,geography,health.,2024-10-31,not done,b,unknown
s02066,math,necessary particularly station.,2024-12-22,done,a+,unknown
s04217,history,south crime miss.,2025-01-11,not done,b-,unknown
s02525,math,also television.,2024-10-29,done,b,unknown
s02767,arabic,think family maintain.,2024-12-09,pending,b-,yes
s09124,geography,wish wear season.,2024-12-19,done,c-,unknown
s05681,arabic,course subject expect.,2024-10-23,done,b,yes
s06251,geography,development weight.,2024-12-09,done,c-,no
s11129,science,pick among probably.,2024-12-10,done,d,no
s07167,science,level a value.,2025-01-08,pending,d,no
s06303,geography,those attorney.,2024-12-14,pending,c-,no
s03168,english,house evidence.,2025-03-08,not done,a+,yes
s00319,science,daughter.,2025-02-18,done,b,no
s02104,english,movement how sense.,2025-02-03,done,b-,no
s02340,math,face design score official.,2025-01-13,pending,b-,no
s00298,history,available do.,2025-03-09,pending,f,unknown
s12090,science,defense society these.,2024-12-09,done,a,unknown
s05529,arabic,push growth.,2024-12-09,not done,b-,yes
s08212,arabic,know score beat reveal.,2024-11-24,done,c-,no
s10142,arabic,mouth.,2024-12-09,not done,c-,unknown
s09781,english,century six.,2024-12-02,done,a,unknown
s04538,history,certainly culture simple.,2024-11-13,pending,b-,yes
s05432,history,their town option.,2024-12-09,done,f,no
s05204,science,professor benefit million.,2025-01-06,done,f,yes
s09862,science,maybe woman look eat.,2025-02-01,done,b,unknown
s06392,math,figure behind.,2025-01-08,done,c-,yes
s09145,geography,million arm magazine.,2024-12-09,not done,b,yes
s07789,math,discover sister air.,2025-03-09,done,c,no
s11490,history,action marriage cut.,2024-11-24,done,b-,unknown
s03091,geography,identify pay carry.,2024-12-05,done,b,no
s10591,math,world thank.,2024-12-09,done,f,unknown
s01686,geography,use.,2025-02-28,done,c-,yes
s02885,english,board red assume.,2025-02-26,done,a,yes
s01269,english,program only.,2024-10-09,not done,f,no
s03159,english,democrat news.,2024-12-09,done,c,unknown
s12131,english,live relationship.,2025-02-15,pending,c,unknown
s05745,english,true administration fear.,2024-10-16,pending,c-,no
s10982,science,anyone school consider.,2024-10-31,not done,c,yes
s09189,geography,interesting.,2025-03-04,not done,a,yes
s02029,arabic,fine trial fund.,2024-11-02,not done,a+,no
s07588,math,something.,2024-10-14,pending,b-,yes
s04716,arabic,build.,2025-02-14,not done,b,unknown
s00576,geography,include design.,2024-12-09,pending,b,no
s09359,math,old.,2025-02-19,not done,c-,unknown
s02943,english,amount suffer surface.,2024-12-09,not done,b,unknown
s04285,math,ground tough over.,2024-10-31,not done,f,yes
s06031,arabic,morning hundred education.,2025-02-20,not done,a,no
s09104,geography,ever eight interest.,2024-12-09,not done,a,unknown
s08622,arabic,public first read.,2024-12-08,not done,f,no
s08550,arabic,role significant.,2024-09-29,pending,b,yes
s09891,history,gas role enough.,2024-12-09,done,b-,yes
s08219,history,surface author.,2024-10-25,done,d,no
s05047,arabic,speech its scene easy.,2024-10-31,done,a+,unknown
s05181,english,option become.,2024-12-27,pending,d,no
s09596,geography,near eye sure.,2024-12-09,not done,d,no
s05607,science,himself operation.,2025-02-09,done,d,unknown
s04909,arabic,herself approach.,2024-12-09,not done,c,unknown
s04905,science,story suffer investment.,2024-12-07,not done,b,unknown
s07634,science,whose.,2024-12-31,not done,a,yes
s04126,science,already level action.,2024-10-22,not done,b,yes
s08715,geography,lead marriage.,2024-12-09,pending,f,unknown
s05304,science,exist order example.,2024-10-19,not done,c-,yes
s05488,arabic,conference owner support.,2024-12-29,done,a+,no
s03084,science,decide.,2024-12-03,pending,b,no
s12030,math,chair fire condition consumer.,2025-01-17,done,c-,no
s09875,arabic,history.,2024-12-09,done,d,no
s03966,english,house in.,2025-02-26,not done,c,unknown
s07213,english,authority plant month yourself.,2024-12-09,not done,a+,no
s02694,geography,go interview reality network.,2024-11-06,pending,b,yes
s05798,geography,because people certainly.,2024-12-09,done,f,yes
s10064,geography,six participant traditional.,2025-02-19,pending,f,no
s05220,english,evidence ground.,2024-12-31,not done,a+,unknown
s09281,geography,rate level.,2024-10-18,pending,b-,yes
s05705,arabic,certainly.,2024-10-31,done,f,unknown
s08698,arabic,politics huge.,2024-09-22,not done,b-,no
s10168,math,dream arrive simply.,2024-12-09,done,a+,unknown
s08215,english,or dog.,2024-12-09,not done,a+,yes
s02913,science,president woman.,2024-12-21,not done,a+,yes
s09072,science,inside.,2024-10-26,not done,a+,no
s03529,arabic,relate from how imagine.,2024-10-16,not done,b,unknown
s11680,geography,follow.,2024-12-09,pending,c,no
s01864,english,arrive sea fact.,2024-11-04,not done,c,no
s11381,math,election.,2025-01-15,done,a,yes
s02759,math,enough reality race.,2024-12-09,done,a+,no
s08085,math,than compare get.,2024-12-09,not done,a+,no
s05092,science,need term.,2025-02-24,done,b-,yes
s06776,geography,real bad.,2025-02-18,done,c-,no
s09705,geography,should.,2024-10-12,done,b-,yes
s07520,science,dog.,2024-12-09,pending,a+,yes
s04601,arabic,about fight.,2024-10-17,not done,b-,yes
s04224,science,major especially perform on.,2024-12-09,not done,f,unknown
s03970,english,responsibility include country.,2024-12-12,pending,b-,unknown
s00363,english,improve american future growth.,2025-03-07,done,c,unknown
s08260,arabic,view year until.,2024-11-30,done,f,unknown
s07739,science,source response.,2025-01-08,done,f,unknown
s01858,science,describe step.,2024-12-22,done,b-,no
s03256,math,can when.,2024-12-09,done,a+,unknown
s03284,math,list thus.,2024-09-21,done,f,no
s10840,history,agree result.,2024-12-09,not done,a+,no
s09868,geography,we appear nothing.,2024-10-21,done,b-,no
s10408,math,treat may second.,2024-12-09,not done,d,no
s00450,math,help red.,2024-11-10,pending,d,yes
s10702,history,method human couple.,2024-10-29,not done,b-,yes
s04053,geography,ability share newspaper.,2024-12-09,done,d,yes
s01315,science,choose music camera.,2024-11-14,done,a+,yes
s07899,history,bad guy.,2024-12-09,done,c,yes
s02319,science,firm condition.,2024-11-23,done,c-,no
s06658,arabic,leg final support.,2024-12-09,pending,c,yes
s10015,geography,affect nor.,2024-10-08,done,f,unknown
s07399,english,success heavy loss.,2024-10-19,done,b-,unknown
s00373,math,throughout ever.,2025-01-14,done,f,unknown
s05287,math,various he agree.,2024-12-09,done,c,yes
s05270,arabic,store already who.,2024-09-16,done,c-,no
s06370,geography,position know eight.,2024-12-09,not done,c-,yes
s00999,history,event house.,2024-11-20,not done,f,no
s04668,history,take difficult.,2025-02-21,done,c-,unknown
s00647,history,perhaps effort ask.,2024-09-08,done,a,no
s08121,arabic,wrong well.,2024-12-09,done,a,unknown
s09512,math,east large.,2025-02-02,pending,c-,unknown
s07984,history,shake.,2025-01-31,done,c,yes
s02462,english,building explain pull.,2024-12-31,not done,a,no
s00335,science,operation animal.,2024-12-09,done,c,unknown
s12096,history,because road suggest.,2024-09-30,pending,b,unknown
s08603,math,tough various role.,2024-12-18,done,d,yes
s02676,geography,far red exist meet.,2024-10-12,done,f,no
s05884,english,month institution.,2024-12-04,not done,f,unknown
s08899,science,network arm young.,2024-12-13,done,a,no
s05228,english,send nothing.,2024-09-21,done,f,no
s03085,english,tv left.,2024-12-09,done,a,yes
s04488,science,really several deal.,2025-02-12,done,a,no
s03069,geography,simply society.,2024-10-07,done,c-,no
s05271,arabic,seek less up.,2024-12-23,done,c,yes
s09250,english,possible network husband probably.,2025-02-10,done,d,unknown
s04877,history,character school.,2024-10-30,done,b-,unknown
s05320,math,life message chance.,2025-02-13,not done,f,yes
s05999,science,think find again.,2024-12-09,done,b-,unknown
s10715,english,participant ball seat.,2024-09-15,not done,c,no
s05150,history,black public.,2025-03-08,not done,f,no
s02317,arabic,clear surface.,2025-01-02,pending,d,yes
s03896,history,however open meeting.,2025-01-07,not done,a,yes
s04397,history,follow though data.,2024-12-07,pending,b,no
s02227,history,that finish.,2024-12-09,done,b-,unknown
s07408,math,leg before out.,2025-03-04,not done,f,no
s08978,math,end traditional part.,2024-10-04,done,d,no
s03223,geography,case factor enter.,2025-01-28,pending,b-,unknown
s10088,english,beautiful feel.,2024-10-25,done,d,no
s03763,history,increase onto apply.,2024-10-30,done,b,yes
s08337,english,need keep.,2024-12-18,done,d,unknown
s07154,english,each would show.,2024-12-09,not done,a+,yes
s05467,geography,method pull yeah.,2024-12-09,done,d,no
s05759,arabic,beautiful suddenly garden.,2024-10-01,done,c,no
s01766,geography,upon large sister.,2025-01-19,not done,a+,unknown
s02355,english,back summer anything foreign.,2024-12-22,pending,f,unknown
s09561,history,consumer fill court.,2024-12-06,not done,d,no
s06058,arabic,phone significant.,2024-11-02,not done,b,yes
s03981,math,war street either.,2025-03-09,done,b-,no
s05318,history,attorney have operation.,2024-12-09,done,a,unknown
s09647,history,section career.,2025-01-14,done,c,no
s09491,history,many somebody participant.,2025-01-17,not done,f,yes
s06820,arabic,west learn.,2025-01-23,done,a,no
s09561,english,increase hospital.,2024-10-27,pending,c,unknown
s06861,geography,man take.,2025-01-27,done,b,yes
s00872,history,kitchen.,2024-10-10,not done,b,unknown
s04308,english,appear interesting during.,2024-12-19,done,d,unknown
s02033,history,success visit clear.,2025-02-20,pending,c,yes
s07657,science,bring.,2024-09-16,done,b-,no
s11737,geography,suddenly crime.,2025-01-15,done,a,no
s10615,geography,add house base.,2024-10-09,done,b-,yes
s07771,english,agree field.,2024-11-14,not done,c,no
s03246,arabic,beyond or.,2025-03-09,done,b,yes
s06234,english,continue quickly.,2025-01-13,done,a+,yes
s03289,arabic,analysis family.,2024-12-09,not done,a+,unknown
s05355,history,window cover phone.,2024-12-09,done,d,unknown
s08090,geography,data air prevent when.,2024-11-11,not done,c-,unknown
s08455,science,for six add.,2025-02-09,pending,b-,unknown
s03440,math,fine feel rock.,2024-12-09,done,b,unknown
s04613,arabic,wife baby change.,2024-09-20,not done,c,yes
s08653,science,politics seven bad.,2025-01-03,done,b,yes
s10624,history,analysis forward.,2024-11-19,pending,c,no
s11334,arabic,resource eye.,2024-12-13,not done,a,no
s06001,math,seven ten meet.,2024-12-17,done,d,no
s02569,arabic,great yard.,2024-10-06,not done,f,unknown
s11101,arabic,thousand because attorney.,2024-10-02,done,b-,no
s10924,geography,southern member difficult.,2024-09-28,done,b,unknown
s03407,geography,cover then sound.,2024-10-26,done,a+,yes
s06411,english,standard north.,2025-02-18,not done,d,yes
s05974,arabic,whole modern protect.,2024-12-09,not done,b,yes
s07657,science,or.,2025-01-23,done,b,unknown
s00934,history,notice yes court likely.,2025-01-14,done,a+,no
s11624,history,condition his hear.,2024-11-25,not done,d,yes
s09082,science,land baby make.,2024-12-09,not done,a+,no
s02405,arabic,game short.,2024-11-16,done,a,no
s10544,history,structure join left.,2025-03-09,done,a+,yes
s03455,english,music send.,2024-12-09,not done,a,yes
s01751,science,on forward stand.,2024-12-09,not done,c,no
s00394,arabic,court.,2024-12-09,done,c,yes
s11596,science,shake girl court.,2025-01-12,done,b-,unknown
s07684,geography,water prove take control.,2024-12-25,pending,b,unknown
s07677,english,sort their.,2024-09-14,not done,a+,yes
s08281,geography,hold early.,2024-09-15,pending,a+,unknown
s02538,geography,wrong type seat.,2024-11-26,pending,c-,yes
s07481,english,employee throughout later.,2024-10-12,done,c,yes
s07528,geography,success season government.,2024-12-09,done,d,no
s05037,history,security street.,2024-12-09,not done,c,no
s04012,english,myself begin feel.,2024-09-26,not done,b,unknown
s05861,geography,eat southern among.,2024-12-06,done,b,yes
s05999,math,pull cultural group.,2024-12-09,done,f,yes
s02129,science,whole by fear.,2025-01-14,not done,b-,no
s09634,geography,budget officer.,2024-12-09,done,c,no
s06446,science,bit issue.,2025-01-27,not done,f,yes
s11949,science,range today everything.,2024-11-10,done,b-,unknown
s04464,english,station.,2024-09-25,done,b-,no
s05732,english,response full.,2025-01-20,done,a,no
s00601,science,war lay.,2024-12-09,pending,c-,yes
s02627,math,right.,2024-11-14,done,c,yes
s06822,arabic,condition.,2024-12-15,pending,d,no
s02570,arabic,mind institution difficult.,2024-12-16,done,b-,yes
s05768,math,professor role one.,2025-01-23,not done,b-,no
s00673,math,else avoid.,2024-12-09,done,a,yes
s03135,science,artist memory school.,2024-12-19,done,c,yes
s08744,arabic,live east moment.,2025-01-21,not done,f,yes
s02660,math,grow.,2024-12-20,not done,c,yes
s07082,math,officer mean sure.,2024-11-19,done,f,unknown
s11301,arabic,data whole number number.,2024-12-19,pending,b-,unknown
s05980,science,somebody water.,2024-09-18,done,a,no
s10880,science,lay what evidence.,2024-12-30,done,d,no
s11985,geography,culture dog.,2024-12-09,done,b-,yes
s07126,english,within street respond.,2025-01-07,pending,c-,unknown
s10768,english,song light.,2024-12-09,not done,b,yes
s06868,geography,national director.,2024-10-17,done,c-,yes
s12051,english,town election.,2024-09-11,done,d,unknown
s11889,science,thought field rate will.,2024-11-09,not done,c,unknown
s09678,history,surface speak than.,2024-10-29,done,c,unknown
s05874,history,part future.,2025-03-03,not done,f,no
s06870,arabic,whole any.,2024-11-06,pending,a,no
s05183,math,boy training.,2024-12-09,done,b-,unknown
s07810,science,cold rate.,2025-01-08,pending,b,yes
s11277,geography,perform the.,2024-12-09,done,a+,yes
s08252,english,film interview hotel.,2024-11-05,done,c-,yes
s01714,geography,prepare.,2024-11-24,done,b-,no
s11600,history,family east.,2024-12-09,done,a,yes
s06708,arabic,current boy color.,2024-12-09,done,b,unknown
s03247,history,short coach mother.,2025-03-04,done,a+,unknown
s07492,history,do security cultural.,2024-12-09,done,a,unknown
s01650,english,occur each.,2024-12-09,done,d,yes
s02787,geography,attack account.,2024-12-18,done,b-,no
s06148,math,meet research international success.,2025-01-06,not done,b-,yes
s04511,geography,position her.,2024-12-24,pending,d,unknown
s08111,science,study social.,2024-12-01,not done,a,no
s02622,geography,character those significant.,2024-10-15,not done,a,yes
s10543,english,cut song.,2025-01-01,not done,c,yes
s04722,arabic,news head citizen.,2025-01-21,done,a,no
s08997,arabic,beautiful free mouth.,2025-02-11,done,f,yes
s11126,history,rate possible.,2024-12-09,not done,d,no
s06088,arabic,accept check wide.,2024-11-15,not done,c-,yes
s11801,math,your sea.,2025-01-01,not done,f,no
s06216,science,mention.,2024-11-05,done,c-,no
s10380,science,he write.,2024-12-09,not done,a,no
s03817,science,this wear management.,2024-12-09,pending,a,no
s03872,history,good poor relate change.,2024-11-13,not done,d,no
s11010,arabic,my create many wonder.,2025-02-24,not done,a+,unknown
s05513,english,heart several create.,2024-12-21,not done,b-,yes
s09955,geography,mrs benefit eight.,2024-12-09,pending,b,yes
s03338,english,seat.,2024-09-21,not done,a+,yes
s05532,history,foot life.,2024-12-09,done,c-,unknown
s11336,geography,son effect rise.,2024-10-10,done,d,unknown
s03254,arabic,thus stand class ready.,2025-02-02,not done,a,yes
s00754,english,the ten region.,2025-02-18,done,f,unknown
s04820,geography,this guess dream.,2024-12-04,pending,a+,unknown
s07847,english,possible.,2024-09-16,not done,f,no
s11732,math,ability institution strategy hard.,2024-12-09,not done,a,no
s04106,math,machine get.,2024-11-23,pending,d,no
s11172,history,those quickly.,2024-12-09,done,b,no
s00315,history,while sea approach.,2024-12-09,done,d,no
s04162,math,fish seat.,2024-12-09,pending,b-,unknown
s08552,geography,test century product.,2024-09-24,done,b,yes
s11596,math,than.,2024-12-09,done,d,unknown
s09127,history,enough leader.,2024-12-09,done,b,no
s06683,science,expert center computer.,2025-02-13,not done,b,unknown
s10513,arabic,network pressure.,2024-10-07,done,a,unknown
s08626,math,cut into focus.,2024-12-29,not done,a+,yes
s07454,history,least you.,2025-01-29,done,b-,no
s07982,geography,language from.,2024-10-12,not done,c-,yes
s01136,science,little raise.,2025-02-16,done,b,no
s00660,english,together production.,2025-01-22,done,d,no
s11564,english,rich whom.,2025-01-03,not done,f,yes
s10934,math,even together manager.,2024-09-19,done,c-,unknown
s01900,math,heavy opportunity certain.,2024-10-19,not done,b,unknown
s06135,history,in stage energy.,2025-01-15,not done,c-,unknown
s03855,english,but though relationship.,2024-12-09,done,b,unknown
s08607,math,in baby best.,2024-12-09,pending,a+,unknown
s02204,english,later ahead music.,2024-12-08,pending,a,unknown
s10582,history,network require strategy.,2025-01-27,not done,b-,yes
s11348,geography,most ten.,2024-09-21,done,c-,yes
s00980,science,spend control popular sound.,2024-09-15,not done,b,yes
s08231,geography,technology pay local.,2024-12-09,pending,a+,no
s03328,arabic,college attorney others.,2025-02-15,done,d,no
s10778,math,image move.,2024-11-08,done,a+,yes
s08381,geography,pick week.,2025-02-12,not done,c,no
s07867,science,manager itself.,2024-09-10,not done,a,no
s09253,history,letter yet.,2024-11-19,done,a,yes
s11754,english,everybody like forward.,2024-10-05,not done,c-,no
s04220,geography,contain include weight medical.,2024-12-28,done,f,yes
s11726,history,state program.,2025-01-21,pending,b,no
s09327,science,interest recently.,2024-12-31,done,c,unknown
s05471,math,nation option wrong.,2024-10-24,pending,a+,yes
s05905,math,receive lead.,2025-02-11,not done,c-,yes
s07935,geography,structure could.,2025-03-07,not done,b-,no
s02245,history,area science.,2024-09-26,done,c-,yes
s11403,geography,economic.,2024-12-09,done,f,no
s06242,geography,back debate plant.,2024-09-23,done,b-,yes
s07414,arabic,only listen us.,2024-12-10,not done,a+,yes
s05964,history,simply bad.,2025-01-11,done,a,no
s08752,math,kind.,2025-03-09,not done,c,yes
s03743,english,miss grow.,2024-09-18,done,b-,no
s01414,english,response.,2024-10-14,done,a,unknown
s06813,history,budget anything manager.,2024-09-24,not done,f,unknown
s02219,english,sea card field.,2024-12-09,not done,c-,unknown
s06105,english,democratic course end right.,2024-11-21,pending,a+,unknown
s11237,science,wish message individual us.,2025-03-05,pending,d,yes
s05465,geography,detail feel it.,2025-01-15,done,a+,no
s00356,english,dog table bill.,2024-11-18,not done,f,no
s07163,english,current doctor.,2024-12-26,done,a+,no
s07820,english,within job.,2024-11-24,pending,b-,yes
s00939,arabic,pull whatever follow.,2024-12-09,pending,b-,no
s11949,english,if the eye.,2024-12-04,done,a,unknown
s04958,english,perform authority base.,2025-01-25,done,a,unknown
s06553,arabic,simply rich street.,2024-12-09,done,a,unknown
s01099,english,side trip.,2025-02-12,not done,b-,yes
s02370,geography,return performance ground.,2024-12-09,not done,f,yes
s10453,arabic,mind artist among.,2024-12-09,done,a,no
s08466,science,democrat director.,2024-12-09,pending,b-,yes
s07025,arabic,clear girl short.,2025-02-09,done,c-,unknown
s05553,history,seat treatment.,2025-01-05,done,f,no
s09358,geography,skill there hospital.,2024-10-12,not done,b-,no
s02633,science,under either.,2025-02-25,done,b,unknown
s02517,math,test.,2025-03-03,not done,b-,no
s06904,science,bill major.,2024-12-25,not done,b-,unknown
s08650,history,skin pull rule.,2024-09-24,done,b,yes
s11611,math,carry sense seek.,2025-01-20,pending,a,unknown
s07051,geography,remember customer son create.,2025-03-09,not done,f,yes
s05433,arabic,they board since.,2024-12-09,done,c-,no
s05217,math,possible professor.,2025-01-11,pending,c,unknown
s02281,arabic,national fast.,2024-12-09,done,b,yes
s03010,science,able at record once.,2024-10-11,not done,a,no
s08252,arabic,position ability yourself.,2025-03-07,pending,d,unknown
s00370,history,minute say.,2025-01-12,done,c-,no
s10198,english,do local travel.,2024-11-22,done,a,yes
s11188,english,bad think to.,2024-12-06,not done,a+,no
s08396,science,lead south clear.,2024-12-09,done,f,unknown
s08811,science,easy within.,2024-11-24,done,a+,yes
s00781,arabic,activity suddenly.,2024-12-09,not done,a,unknown
s10485,science,score style a beautiful.,2024-12-12,not done,c,yes
s04867,english,capital reach together.,2024-12-09,pending,a,no
s06838,geography,arm floor.,2025-01-31,done,b-,unknown
s04675,history,parent mr.,2025-01-20,done,c,yes
s05712,math,bad.,2024-12-09,done,a+,no
s08898,arabic,outside race east.,2025-02-27,done,b-,no
s01657,geography,class figure court raise.,2024-12-17,done,a,unknown
s02956,geography,area story able.,2024-12-06,not done,c,unknown
